Location,Year,GDP_Growth
India,2000,3.840991157
India,2001,4.823966264
India,2002,3.803975321
India,2003,7.860381476
India,2004,7.922936613
India,2005,7.923430621
India,2006,8.060732573
India,2007,7.660815065
India,2008,3.08669806
India,2009,7.861888833
India,2010,8.497584702
India,2011,5.241315001
India,2012,5.456388753
India,2013,6.386106401
India,2014,7.410227605
India,2015,7.996253786
India,2016,8.256305502
India,2017,6.795383419
India,2018,6.453851345
India,2019,3.73791852
India,2020,-6.596080522
India,2021,8.947962669
World,2000,4.487297166
World,2001,1.99684326
World,2002,2.328904921
World,2003,3.150846537
World,2004,4.493562174
World,2005,4.043142251
World,2006,4.476227986
World,2007,4.477407141
World,2008,2.066395257
World,2009,-1.325831914
World,2010,4.532279195
World,2011,3.321024221
World,2012,2.707161921
World,2013,2.819838043
World,2014,3.055919871
World,2015,3.08105935
World,2016,2.798896114
World,2017,3.379489864
World,2018,3.276646336
World,2019,2.614882119
World,2020,-3.271218833
World,2021,5.802056757
Germany,2000,2.912502964
Germany,2001,1.681468481
Germany,2002,-0.197973835
Germany,2003,-0.700116686
Germany,2004,1.175088132
Germany,2005,0.731707164
Germany,2006,3.816441913
Germany,2007,2.976455131
Germany,2008,0.959879134
Germany,2009,-5.693836336
Germany,2010,4.179882499
Germany,2011,3.925192705
Germany,2012,0.418497594
Germany,2013,0.437591303
Germany,2014,2.209543431
Germany,2015,1.491931528
Germany,2016,2.229999868
Germany,2017,2.680231114
Germany,2018,1.086024514
Germany,2019,1.055508247
Germany,2020,-4.569616717
Germany,2021,2.892602433
United_Kingdom,2000,3.672369105
United_Kingdom,2001,2.072656279
United_Kingdom,2002,2.123222773
United_Kingdom,2003,3.029889927
United_Kingdom,2004,2.355629762
United_Kingdom,2005,2.59328001
United_Kingdom,2006,2.584104677
United_Kingdom,2007,2.269486875
United_Kingdom,2008,-0.239638085
United_Kingdom,2009,-4.247356266
United_Kingdom,2010,2.131438198
United_Kingdom,2011,1.457563391
United_Kingdom,2012,1.469887521
United_Kingdom,2013,1.890018342
United_Kingdom,2014,2.991164814
United_Kingdom,2015,2.622596679
United_Kingdom,2016,2.263463538
United_Kingdom,2017,2.134453093
United_Kingdom,2018,1.650925496
United_Kingdom,2019,1.671944197
United_Kingdom,2020,-9.270410835
United_Kingdom,2021,7.441273093
United_States,2000,4.077159479
United_States,2001,0.954338729
United_States,2002,1.695942923
United_States,2003,2.796209101
United_States,2004,3.852552601
United_States,2005,3.48322032
United_States,2006,2.782810626
United_States,2007,2.010507552
United_States,2008,0.122188443
United_States,2009,-2.599888351
United_States,2010,2.708856694
United_States,2011,1.54989495
United_States,2012,2.280687603
United_States,2013,1.841875395
United_States,2014,2.287775933
United_States,2015,2.706369582
United_States,2016,1.667472076
United_States,2017,2.255680481
United_States,2018,2.918856897
United_States,2019,2.288869868
United_States,2020,-3.404589652
United_States,2021,5.671107191
